time,type,lat,lon,uid
2023-07-12 00:06:00,H_0,31.217311,121.491205,0
2023-07-12 10:24:00,W_0,31.197233,121.538826,0
2023-07-12 22:36:19,H_0,31.217311,121.491205,0
2023-07-13 08:56:29,W_0,31.197233,121.538826,0
2023-07-13 23:52:02,H_0,31.217311,121.491205,0
2023-07-14 01:11:46,O_0,31.201568,121.551526,0
2023-07-14 10:25:59,W_0,31.197233,121.538826,0
2023-07-14 23:23:10,H_0,31.217311,121.491205,0
2023-07-15 10:56:15,W_0,31.197233,121.538826,0
2023-07-15 15:10:10,O_5,31.314178,121.271473,0
2023-07-15 17:32:32,W_0,31.197233,121.538826,0
2023-07-15 23:05:31,H_0,31.217311,121.491205,0
2023-07-16 17:39:25,O_7,31.097336,121.482603,0
2023-07-16 19:27:29,W_0,31.197233,121.538826,0
2023-07-16 22:49:16,O_3,31.242093,121.482787,0
2023-07-17 01:12:08,H_0,31.217311,121.491205,0
2023-07-17 08:02:23,W_0,31.197233,121.538826,0
2023-07-17 21:03:07,H_0,31.217311,121.491205,0
2023-07-18 11:31:17,W_0,31.197233,121.538826,0
2023-07-18 22:13:01,H_0,31.217311,121.491205,0
2023-07-12 00:20:36,H_0,30.734838,121.303779,1
2023-07-12 20:37:16,W_0,30.741259,121.332931,1
2023-07-12 22:14:37,H_0,30.734838,121.303779,1
2023-07-13 01:09:28,O_0,30.739433,121.333477,1
2023-07-13 12:12:16,W_0,30.741259,121.332931,1
2023-07-13 21:12:18,H_0,30.734838,121.303779,1
2023-07-14 20:28:30,W_0,30.741259,121.332931,1
2023-07-15 00:09:00,H_0,30.734838,121.303779,1
2023-07-15 20:42:41,W_0,30.741259,121.332931,1
2023-07-15 22:16:22,H_0,30.734838,121.303779,1
2023-07-16 12:14:49,W_0,30.741259,121.332931,1
2023-07-16 13:48:16,O_3,31.021876,121.307422,1
2023-07-16 15:46:29,W_0,30.741259,121.332931,1
2023-07-17 00:56:56,H_0,30.734838,121.303779,1
2023-07-17 12:29:44,W_0,30.741259,121.332931,1
2023-07-17 22:30:37,H_0,30.734838,121.303779,1
2023-07-18 11:55:35,O_4,30.847914,121.310054,1
2023-07-18 13:02:44,W_0,30.741259,121.332931,1
2023-07-18 23:42:02,O_2,30.757608,121.346837,1
2023-07-12 00:59:37,H_0,31.101388,121.464673,2
2023-07-12 07:06:51,O_4,30.97629,121.657257,2
2023-07-12 10:03:34,O_3,31.154413,121.435283,2
2023-07-12 12:51:55,H_0,31.101388,121.464673,2
2023-07-12 16:06:51,O_2,31.156142,121.458664,2
2023-07-12 17:01:54,O_0,31.126412,121.497184,2
2023-07-12 18:15:37,H_0,31.101388,121.464673,2
2023-07-13 02:55:56,O_0,31.126412,121.497184,2
2023-07-13 08:52:09,H_0,31.101388,121.464673,2
2023-07-13 12:28:25,O_0,31.126412,121.497184,2
2023-07-13 20:54:39,H_0,31.101388,121.464673,2
2023-07-14 12:03:35,O_0,31.126412,121.497184,2
2023-07-14 13:01:36,H_0,31.101388,121.464673,2
2023-07-15 07:17:42,O_2,31.156142,121.458664,2
2023-07-15 11:35:14,H_0,31.101388,121.464673,2
2023-07-15 17:23:43,O_0,31.126412,121.497184,2
2023-07-15 20:04:22,H_0,31.101388,121.464673,2
2023-07-15 23:21:50,O_1,31.25497,121.402841,2
2023-07-16 09:13:13,H_0,31.101388,121.464673,2
2023-07-16 16:10:13,O_0,31.126412,121.497184,2
2023-07-16 20:54:24,H_0,31.101388,121.464673,2
2023-07-16 23:40:07,O_1,31.25497,121.402841,2
2023-07-17 04:18:30,O_0,31.126412,121.497184,2
2023-07-17 08:21:33,H_0,31.101388,121.464673,2
2023-07-17 12:02:18,O_0,31.126412,121.497184,2
2023-07-17 20:18:37,H_0,31.101388,121.464673,2
2023-07-17 23:10:15,O_1,31.25497,121.402841,2
2023-07-18 08:40:23,H_0,31.101388,121.464673,2
2023-07-18 09:29:32,O_3,31.154413,121.435283,2
2023-07-18 12:07:25,O_2,31.156142,121.458664,2
2023-07-18 21:14:39,H_0,31.101388,121.464673,2
2023-07-18 23:41:44,O_4,30.97629,121.657257,2
2023-07-12 00:40:19,H_0,31.747304,121.342724,3
2023-07-12 09:37:19,O_0,31.755039,121.362373,3
2023-07-12 12:54:29,O_9,31.521865,121.33045,3
2023-07-12 15:43:25,O_7,31.703241,121.336431,3
2023-07-12 19:53:43,H_0,31.747304,121.342724,3
2023-07-14 11:01:13,O_2,31.721628,121.326357,3
2023-07-14 13:46:34,H_0,31.747304,121.342724,3
2023-07-15 09:07:40,O_0,31.755039,121.362373,3
2023-07-15 21:50:56,H_0,31.747304,121.342724,3
2023-07-16 09:12:25,O_0,31.755039,121.362373,3
2023-07-16 16:13:35,H_0,31.747304,121.342724,3
2023-07-17 19:47:56,O_0,31.755039,121.362373,3
2023-07-17 21:39:16,H_0,31.747304,121.342724,3
2023-07-18 21:58:35,O_6,31.759752,121.332218,3
2023-07-12 00:01:36,H_0,31.230289,121.442004,4
2023-07-12 08:06:41,O_0,31.207149,121.467471,4
2023-07-12 20:36:55,O_1,31.233714,121.418655,4
2023-07-13 01:28:14,H_0,31.230289,121.442004,4
2023-07-16 15:30:41,O_7,31.244172,121.423158,4
2023-07-16 22:14:39,H_0,31.230289,121.442004,4
2023-07-18 09:09:41,W_0,31.207459,121.40886,4
2023-07-18 20:13:38,H_0,31.230289,121.442004,4
2023-07-12 00:40:52,H_0,31.27058,121.595683,5
2023-07-12 14:30:35,O_4,31.272787,121.548905,5
2023-07-12 15:00:23,W_0,31.25764,121.538121,5
2023-07-13 00:27:25,H_0,31.27058,121.595683,5
2023-07-14 10:00:03,W_0,31.25764,121.538121,5
2023-07-15 00:27:15,H_0,31.27058,121.595683,5
2023-07-15 13:05:10,O_1,31.253851,121.578836,5
2023-07-15 15:42:15,W_0,31.25764,121.538121,5
2023-07-15 22:12:11,H_0,31.27058,121.595683,5
2023-07-16 09:12:34,W_0,31.25764,121.538121,5
2023-07-16 23:19:04,H_0,31.27058,121.595683,5
2023-07-17 10:13:05,W_0,31.25764,121.538121,5
2023-07-17 23:56:01,H_0,31.27058,121.595683,5
2023-07-18 10:51:04,W_0,31.25764,121.538121,5
2023-07-12 00:33:54,H_0,31.09316,121.312991,6
2023-07-12 23:47:01,O_7,31.181465,121.343292,6
2023-07-13 11:54:07,H_0,31.09316,121.312991,6
2023-07-13 15:35:24,O_0,31.124724,121.386931,6
2023-07-14 08:30:02,H_0,31.09316,121.312991,6
2023-07-15 17:49:04,O_0,31.124724,121.386931,6
2023-07-16 10:40:47,H_0,31.09316,121.312991,6
2023-07-16 12:30:28,O_6,30.980542,121.531662,6
2023-07-17 09:11:19,O_5,31.21164,121.361861,6
2023-07-17 10:58:42,H_0,31.09316,121.312991,6
2023-07-17 17:23:46,O_3,31.174643,121.440464,6
2023-07-17 18:25:11,O_1,31.035928,121.407995,6
2023-07-17 19:56:20,O_6,30.980542,121.531662,6
2023-07-18 09:38:01,O_0,31.124724,121.386931,6
2023-07-18 13:57:00,O_4,31.213135,121.327361,6
2023-07-12 00:22:07,H_0,31.24979,121.342517,7
2023-07-12 11:21:36,O_5,31.307954,121.352041,7
2023-07-12 15:42:05,O_1,31.1992,121.442475,7
2023-07-12 17:43:43,H_0,31.24979,121.342517,7
2023-07-12 19:17:19,O_5,31.307954,121.352041,7
2023-07-13 15:08:30,O_1,31.1992,121.442475,7
2023-07-13 17:51:39,H_0,31.24979,121.342517,7
2023-07-15 09:44:58,O_2,31.224438,121.436269,7
2023-07-15 18:53:44,O_0,31.231657,121.384493,7
2023-07-15 19:05:21,H_0,31.24979,121.342517,7
2023-07-16 09:53:19,O_2,31.224438,121.436269,7
2023-07-16 13:25:56,O_4,31.241699,121.372884,7
2023-07-16 18:44:33,O_1,31.1992,121.442475,7
2023-07-17 10:29:24,H_0,31.24979,121.342517,7
2023-07-17 20:12:26,O_1,31.1992,121.442475,7
2023-07-18 08:46:25,H_0,31.24979,121.342517,7
2023-07-18 11:50:39,O_5,31.307954,121.352041,7
2023-07-18 15:25:35,O_1,31.1992,121.442475,7
2023-07-18 17:24:57,H_0,31.24979,121.342517,7
2023-07-12 00:35:46,H_0,31.257833,121.23856,8
2023-07-12 01:29:28,O_4,31.252523,121.309251,8
2023-07-12 12:51:22,O_2,31.241826,121.23096,8
2023-07-12 23:17:26,O_0,31.266317,121.463895,8
2023-07-13 08:41:04,W_0,31.23189,121.282017,8
2023-07-13 14:34:24,O_5,31.15453,121.295234,8
2023-07-14 01:30:48,H_0,31.257833,121.23856,8
2023-07-14 03:19:24,O_0,31.266317,121.463895,8
2023-07-14 08:14:21,W_0,31.23189,121.282017,8
2023-07-14 20:57:21,O_0,31.266317,121.463895,8
2023-07-15 08:33:30,W_0,31.23189,121.282017,8
2023-07-15 11:29:20,O_8,31.337322,121.17765,8
2023-07-15 14:13:18,W_0,31.23189,121.282017,8
2023-07-15 17:16:07,O_3,31.241193,121.455697,8
2023-07-15 22:15:52,H_0,31.257833,121.23856,8
2023-07-16 10:35:41,O_1,31.168381,121.198608,8
2023-07-16 12:28:58,H_0,31.257833,121.23856,8
2023-07-16 15:18:34,O_6,31.239617,121.273345,8
2023-07-17 02:26:15,H_0,31.257833,121.23856,8
2023-07-17 09:33:10,W_0,31.23189,121.282017,8
2023-07-17 17:07:10,O_0,31.266317,121.463895,8
2023-07-18 09:44:26,O_2,31.241826,121.23096,8
2023-07-18 11:27:24,H_0,31.257833,121.23856,8
2023-07-18 17:01:09,O_0,31.266317,121.463895,8
2023-07-12 00:13:30,H_0,31.194923,121.535717,9
2023-07-13 07:10:35,W_0,31.195608,121.518668,9
2023-07-13 20:49:58,O_0,31.194078,121.503557,9
2023-07-14 07:29:35,W_0,31.195608,121.518668,9
2023-07-14 19:40:40,H_0,31.194923,121.535717,9
2023-07-15 07:18:18,O_2,31.163194,121.299842,9
2023-07-15 16:04:04,W_0,31.195608,121.518668,9
2023-07-15 18:33:25,O_3,31.189874,121.517816,9
2023-07-16 10:54:07,O_2,31.163194,121.299842,9
2023-07-16 16:16:50,W_0,31.195608,121.518668,9
2023-07-16 20:47:40,O_0,31.194078,121.503557,9
2023-07-17 07:08:16,W_0,31.195608,121.518668,9
2023-07-17 21:53:10,O_5,31.002538,121.540897,9
